订单号,条形码,中文名,外文名,数量,价格
B16111211292758,8787247903487,91*68染发围布,Akcesoria,1,0.00
B16111211292758,8787247817722,染发碗+染发梳,Akcesoria,1,2.74
B16111213044996,8787247897298,蛋糕蔬菜切,Art.gosp.dom,1,1.50
